,path,prediction
0,100055\000003766.jpg,0.0023961961
1,100055\000003767.jpg,0.0048638284
2,100055\000003768.jpg,2.634012e-05
3,100055\000003769.jpg,0.00064861774
4,100055\000003770.jpg,0.895647
5,10010\000019601.jpg,0.015654534
6,10010\000019602.jpg,0.0031549633
7,10010\000019603.jpg,0.00859347
8,10010\000019604.jpg,0.0007610023
9,10010\000019605.jpg,0.004662484
10,10010\000019606.jpg,0.0009275377
11,10010\000019607.jpg,0.039680004
12,10010\000019608.jpg,0.0007170737
13,100143\000007991.jpg,0.0008149445
14,100143\000007992.jpg,0.0011188984
15,100143\000007993.jpg,0.00032824278
16,100143\000007994.jpg,0.8456676
17,100206\000034115.jpg,0.9959327
18,100206\000034116.jpg,0.0005891323
19,100206\000034117.jpg,3.0600128e-05
20,100206\000034118.jpg,0.003026098
21,100206\000034119.jpg,0.9982108
22,100206\000034120.jpg,0.0004929602
23,100206\000034121.jpg,0.0041942
24,100206\000034122.jpg,3.3973447e-05
25,100206\000034123.jpg,0.0017414093
26,100206\000034124.jpg,2.9719307e-05
27,100206\000034125.jpg,0.00056788325
28,100206\000034126.jpg,0.035975456
29,100206\000034127.jpg,0.9925961
30,100206\000034128.jpg,0.9013523
31,100206\000034129.jpg,0.99431145
32,100206\000034130.jpg,0.0020124614
33,100206\000034131.jpg,6.1016708e-05
34,100292\000009380.jpg,0.0036129057
35,100292\000009381.jpg,0.00029534101
36,100292\000009382.jpg,0.00084099174
37,100292\000009383.jpg,0.9917352
38,100297\000003285.jpg,0.0021199286
39,100297\000003286.jpg,0.9978502
40,100297\000003287.jpg,5.8699006e-05
41,100297\000003288.jpg,0.0059031844
42,100297\000003289.jpg,0.0012658834
43,100297\000003290.jpg,0.00024026632
44,100297\000003291.jpg,0.9966874
45,100297\000003292.jpg,0.0012764931
46,100297\000003293.jpg,0.62349194
47,100297\000003294.jpg,0.3503967
48,100297\000003295.jpg,0.02722308
49,100297\000003296.jpg,0.0016310811
50,100297\000003297.jpg,0.44819736
51,100297\000003298.jpg,0.00542894
52,100297\000003299.jpg,0.10981968
53,100297\000003300.jpg,0.2966699
54,100297\000003301.jpg,0.9578714
55,100297\000003302.jpg,0.9961661
56,100297\000003303.jpg,0.8560109
57,10031\000013206.jpg,0.0008376539
58,10031\000013207.jpg,0.0007995963
59,10031\000013208.jpg,0.0036751032
60,10031\000013209.jpg,0.9970341
61,10031\000013210.jpg,0.0012715757
62,10031\000013211.jpg,0.0036316514
63,10031\000013212.jpg,0.0008005202
64,10031\000013213.jpg,0.9956389
65,10031\000013214.jpg,0.9902188
66,10031\000013215.jpg,0.00013169646
67,10031\000013216.jpg,0.00067839026
68,10031\000013217.jpg,0.00092479587
69,10031\000013218.jpg,0.0005119741
70,10031\000013219.jpg,0.0006355047
71,10031\000013220.jpg,0.9834311
72,10031\000013221.jpg,0.9388703
73,100317\000038923.jpg,0.88973546
74,100317\000038924.jpg,0.005726576
75,100317\000038925.jpg,0.0062949657
76,100317\000038926.jpg,0.9804741
77,100317\000038927.jpg,0.007541716
78,100326\000043902.jpg,0.3248213
79,100326\000043903.jpg,0.024632305
80,100326\000043904.jpg,0.011971056
81,100326\000043905.jpg,0.0007855296
82,100326\000043906.jpg,0.0013130307
83,100326\000043907.jpg,0.2978253
84,100326\000043908.jpg,0.00075915456
85,100326\000043910.jpg,0.0023471713
86,100326\000043911.jpg,6.7522335e-05
87,100326\000043912.jpg,0.009285748
88,100326\000043913.jpg,0.6242931
89,100326\000043914.jpg,0.00082555413
90,100326\000043915.jpg,7.6238524e-05
91,100326\000043916.jpg,0.7233983
92,100326\000043918.jpg,0.0030432045
93,100326\000043919.jpg,0.009619594
94,100326\000043920.jpg,0.07543746
95,100326\000043921.jpg,0.00036016107
96,100326\000043922.jpg,0.001740098
97,100326\000043923.jpg,0.93448055
98,100410\000014411.jpg,0.012447357
99,100410\000014412.jpg,0.0012661219
100,100410\000014413.jpg,0.0004735291
101,100410\000014414.jpg,0.9554603
102,100410\000014415.jpg,0.0042676628
103,100410\000014416.jpg,0.00074088573
104,100410\000014417.jpg,0.0025801957
105,100410\000014418.jpg,0.96227336
106,100410\000014419.jpg,0.18062857
107,100410\000014420.jpg,0.00022634864
108,100410\000014421.jpg,8.4621664e-05
109,100410\000014422.jpg,0.0016423762
110,100410\000014423.jpg,0.1278173
111,100410\000014424.jpg,0.0035268664
112,100410\000014425.jpg,0.0022272468
113,100410\000014426.jpg,0.001177907
114,100410\000014427.jpg,0.00041618943
115,100410\000014428.jpg,0.4248588
116,100410\000014429.jpg,0.99687773
117,10054\000039544.jpg,0.9948723
118,10054\000039545.jpg,0.0007326901
119,10054\000039546.jpg,0.0009290874
120,10054\000039547.jpg,0.0006452799
121,10054\000039548.jpg,0.004487157
122,10054\000039549.jpg,0.9966321
123,10054\000039550.jpg,0.0014097989
124,10054\000039551.jpg,0.0011936128
125,10054\000039552.jpg,0.05901426
126,10054\000039553.jpg,0.8215432
127,10054\000039554.jpg,0.018714905
128,10054\000039555.jpg,0.0920026
129,10054\000039556.jpg,0.0033366084
130,10054\000039557.jpg,0.0019359291
131,10054\000039558.jpg,0.013430089
132,10054\000039559.jpg,0.99650156
133,1007\000013810.jpg,0.9064914
134,1007\000013811.jpg,0.93058926
135,1007\000013812.jpg,0.00010867668
136,1007\000013813.jpg,2.0560574e-05
137,1007\000013814.jpg,0.00032544136
138,1007\000013815.jpg,0.00030508637
139,1007\000013816.jpg,0.6929052
140,1007\000013817.jpg,0.9907938
141,1007\000013818.jpg,0.00029200315
142,1007\000013819.jpg,0.90709925
143,1007\000013820.jpg,0.00016099215
144,1007\000013821.jpg,0.13777754
145,1007\000013822.jpg,0.00024297833
146,1007\000013823.jpg,0.96626836
147,1007\000013824.jpg,0.98031473
148,1007\000013825.jpg,0.0036454797
149,1007\000013826.jpg,0.4278404
150,1007\000013827.jpg,1.5906173e-05
151,1007\000013828.jpg,0.0007483959
152,1007\000013829.jpg,0.036990255
153,1007\000013830.jpg,3.3800843e-05
154,1007\000013831.jpg,0.99650335
155,1007\000013832.jpg,0.0008250773
156,1007\000013833.jpg,7.256971e-05
157,1007\000013834.jpg,0.9943667
158,1007\000013835.jpg,0.00996545
159,1007\000013836.jpg,1.7886281e-05
160,1007\000013837.jpg,0.040153533
161,1007\000013838.jpg,6.878905e-05
162,1007\000013839.jpg,0.9892428
163,1007\000013840.jpg,0.0062518716
164,1007\000013841.jpg,0.00059354305
165,1007\000013842.jpg,0.9892428
166,1007\000013843.jpg,0.0062518716
167,1007\000013844.jpg,0.00059354305
168,1007\000013845.jpg,0.0008467734
169,1007\000013846.jpg,0.0008467734
170,1007\000013847.jpg,0.0013605356
171,1007\000013848.jpg,0.00024110079
172,1007\000013849.jpg,0.004309088
173,1007\000013850.jpg,0.7565706
174,100784\000044186.jpg,0.00057429075
175,100784\000044187.jpg,0.004633516
